state,date,cases
Andorra,2020-01-25,0
Andorra,2020-01-26,0
Andorra,2020-01-27,0
Andorra,2020-01-28,0
Andorra,2020-01-29,0
Andorra,2020-01-30,0
Andorra,2020-01-31,0
Andorra,2020-02-01,0
Andorra,2020-02-02,0
Andorra,2020-02-03,0
Andorra,2020-02-04,0
Andorra,2020-02-05,0
Andorra,2020-02-06,0
Andorra,2020-02-07,0
Andorra,2020-02-08,0
Andorra,2020-02-09,0
Andorra,2020-02-10,0
Andorra,2020-02-11,0
Andorra,2020-02-12,0
Andorra,2020-02-13,0
Andorra,2020-02-14,0
Andorra,2020-02-15,0
Andorra,2020-02-16,0
Andorra,2020-02-17,0
Andorra,2020-02-18,0
Andorra,2020-02-19,0
Andorra,2020-02-20,0
Andorra,2020-02-21,0
Andorra,2020-02-22,0
Andorra,2020-02-23,0
Andorra,2020-02-24,0
Andorra,2020-02-25,0
Andorra,2020-02-26,0
Andorra,2020-02-27,0
Andorra,2020-02-28,0
Andorra,2020-02-29,0
Andorra,2020-03-01,0
Andorra,2020-03-02,1
Andorra,2020-03-03,1
Andorra,2020-03-04,1
Andorra,2020-03-05,1
Andorra,2020-03-06,1
Andorra,2020-03-07,1
Andorra,2020-03-08,1
Andorra,2020-03-09,1
Andorra,2020-03-10,1
Andorra,2020-03-11,1
Andorra,2020-03-12,1
Andorra,2020-03-13,1
Andorra,2020-03-14,1
Andorra,2020-03-15,1
Andorra,2020-03-16,2
Andorra,2020-03-17,39
Andorra,2020-03-18,39
Andorra,2020-03-19,53
Andorra,2020-03-20,75
Andorra,2020-03-21,88
Andorra,2020-03-22,113
Andorra,2020-03-23,133
Andorra,2020-03-24,164
Andorra,2020-03-25,188
Andorra,2020-03-26,224
Andorra,2020-03-27,267
Andorra,2020-03-28,308
Andorra,2020-03-29,334
Andorra,2020-03-30,370
Andorra,2020-03-31,376
Andorra,2020-04-01,390
Andorra,2020-04-02,428
Andorra,2020-04-03,439
Andorra,2020-04-04,466
Andorra,2020-04-05,501
Andorra,2020-04-06,525
Andorra,2020-04-07,545
Andorra,2020-04-08,564
Andorra,2020-04-09,583
Andorra,2020-04-10,601
Andorra,2020-04-11,601
Andorra,2020-04-12,638
Andorra,2020-04-13,646
Andorra,2020-04-14,659
Andorra,2020-04-15,673
Andorra,2020-04-16,673
Andorra,2020-04-17,696
Andorra,2020-04-18,704
Andorra,2020-04-19,713
Andorra,2020-04-20,717
Andorra,2020-04-21,717
Andorra,2020-04-22,723
Andorra,2020-04-23,723
Andorra,2020-04-24,731
Andorra,2020-04-25,738
Andorra,2020-04-26,738
Andorra,2020-04-27,743
Andorra,2020-04-28,743
Andorra,2020-04-29,743
Andorra,2020-04-30,745
Andorra,2020-05-01,745
Andorra,2020-05-02,747
Andorra,2020-05-03,748
Andorra,2020-05-04,750
Andorra,2020-05-05,751
Andorra,2020-05-06,751
Andorra,2020-05-07,752
Andorra,2020-05-08,752
Andorra,2020-05-09,754
Andorra,2020-05-10,755
Andorra,2020-05-11,755
Andorra,2020-05-12,758
Andorra,2020-05-13,760
Andorra,2020-05-14,761
Andorra,2020-05-15,761
Andorra,2020-05-16,761
Andorra,2020-05-17,761
Andorra,2020-05-18,761
Andorra,2020-05-19,761
Andorra,2020-05-20,762
Andorra,2020-05-21,762
Andorra,2020-05-22,762
Andorra,2020-05-23,762
Andorra,2020-05-24,762
Andorra,2020-05-25,763
Andorra,2020-05-26,763
Andorra,2020-05-27,763
Andorra,2020-05-28,763
Andorra,2020-05-29,764
Andorra,2020-05-30,764
Andorra,2020-05-31,764
Andorra,2020-06-01,765
Andorra,2020-06-02,844
Andorra,2020-06-03,851
Andorra,2020-06-04,852
Andorra,2020-06-05,852
Andorra,2020-06-06,852
Andorra,2020-06-07,852
Andorra,2020-06-08,852
Andorra,2020-06-09,852
Andorra,2020-06-10,852
Andorra,2020-06-11,852
Andorra,2020-06-12,853
Andorra,2020-06-13,853
Andorra,2020-06-14,853
Andorra,2020-06-15,853
Andorra,2020-06-16,854
Andorra,2020-06-17,854
Andorra,2020-06-18,855
Andorra,2020-06-19,855
Andorra,2020-06-20,855
Andorra,2020-06-21,855
Andorra,2020-06-22,855
Andorra,2020-06-23,855
Andorra,2020-06-24,855
Austria,2020-01-22,0
Austria,2020-01-23,0
Austria,2020-01-24,0
Austria,2020-01-25,0
Austria,2020-01-26,0
Austria,2020-01-27,0
Austria,2020-01-28,0
Austria,2020-01-29,0
Austria,2020-01-30,0
Austria,2020-01-31,0
Austria,2020-02-01,0
Austria,2020-02-02,0
Austria,2020-02-03,0
Austria,2020-02-04,0
Austria,2020-02-05,0
Austria,2020-02-06,0
Austria,2020-02-07,0
Austria,2020-02-08,0
Austria,2020-02-09,0
Austria,2020-02-10,0
Austria,2020-02-11,0
Austria,2020-02-12,0
Austria,2020-02-13,0
Austria,2020-02-14,0
Austria,2020-02-15,0
Austria,2020-02-16,0
Austria,2020-02-17,0
Austria,2020-02-18,0
Austria,2020-02-19,0
Austria,2020-02-20,0
Austria,2020-02-21,0
Austria,2020-02-22,0
Austria,2020-02-23,0
Austria,2020-02-24,0
Austria,2020-02-25,2
Austria,2020-02-26,2
Austria,2020-02-27,3
Austria,2020-02-28,3
Austria,2020-02-29,9
Austria,2020-03-01,14
Austria,2020-03-02,18
Austria,2020-03-03,21
Austria,2020-03-04,29
Austria,2020-03-05,41
Austria,2020-03-06,55
Austria,2020-03-07,79
Austria,2020-03-08,104
Austria,2020-03-09,131
Austria,2020-03-10,182
Austria,2020-03-11,246
Austria,2020-03-12,302
Austria,2020-03-13,504
Austria,2020-03-14,655
Austria,2020-03-15,860
Austria,2020-03-16,1018
Austria,2020-03-17,1332
Austria,2020-03-18,1646
Austria,2020-03-19,2013
Austria,2020-03-20,2388
Austria,2020-03-21,2814
Austria,2020-03-22,3582
Austria,2020-03-23,4474
Austria,2020-03-24,5283
Austria,2020-03-25,5588
Austria,2020-03-26,6909
Austria,2020-03-27,7657
Austria,2020-03-28,8271
Austria,2020-03-29,8788
Austria,2020-03-30,9618
Austria,2020-03-31,10180
Austria,2020-04-01,10711
Austria,2020-04-02,11129
Austria,2020-04-03,11524
Austria,2020-04-04,11781
Austria,2020-04-05,12051
Austria,2020-04-06,12297
Austria,2020-04-07,12639
Austria,2020-04-08,12942
Austria,2020-04-09,13244
Austria,2020-04-10,13555
Austria,2020-04-11,13806
Austria,2020-04-12,13945
Austria,2020-04-13,14041
Austria,2020-04-14,14226
Austria,2020-04-15,14336
Austria,2020-04-16,14476
Austria,2020-04-17,14595
Austria,2020-04-18,14671
Austria,2020-04-19,14749
Austria,2020-04-20,14795
Austria,2020-04-21,14873
Austria,2020-04-22,14925
Austria,2020-04-23,15002
Austria,2020-04-24,15071
Austria,2020-04-25,15148
Austria,2020-04-26,15225
Austria,2020-04-27,15274
Austria,2020-04-28,15357
Austria,2020-04-29,15402
Austria,2020-04-30,15452
Austria,2020-05-01,15531
Austria,2020-05-02,15558
Austria,2020-05-03,15597
Austria,2020-05-04,15621
Austria,2020-05-05,15650
Austria,2020-05-06,15684
Austria,2020-05-07,15752
Austria,2020-05-08,15774
Austria,2020-05-09,15833
Austria,2020-05-10,15871
Austria,2020-05-11,15882
Austria,2020-05-12,15961
Austria,2020-05-13,15997
Austria,2020-05-14,16058
Austria,2020-05-15,16109
Austria,2020-05-16,16201
Austria,2020-05-17,16242
Austria,2020-05-18,16269
Austria,2020-05-19,16321
Austria,2020-05-20,16353
Austria,2020-05-21,16404
Austria,2020-05-22,16436
Austria,2020-05-23,16486
Austria,2020-05-24,16503
Austria,2020-05-25,16539
Austria,2020-05-26,16557
Austria,2020-05-27,16591
Austria,2020-05-28,16628
Austria,2020-05-29,16655
Austria,2020-05-30,16685
Austria,2020-05-31,16731
Austria,2020-06-01,16733
Austria,2020-06-02,16759
Austria,2020-06-03,16771
Austria,2020-06-04,16805
Austria,2020-06-05,16843
Austria,2020-06-06,16898
Austria,2020-06-07,16902
Austria,2020-06-08,16968
Austria,2020-06-09,16979
Austria,2020-06-10,17005
Austria,2020-06-11,17034
Austria,2020-06-12,17064
Austria,2020-06-13,17078
Austria,2020-06-14,17109
Austria,2020-06-15,17135
Austria,2020-06-16,17189
Austria,2020-06-17,17203
Austria,2020-06-18,17223
Austria,2020-06-19,17271
Austria,2020-06-20,17323
Austria,2020-06-21,17341
Austria,2020-06-22,17380
Austria,2020-06-23,17408
Austria,2020-06-24,17477
Belarus,2020-01-22,0
Belarus,2020-01-23,0
Belarus,2020-01-24,0
Belarus,2020-01-25,0
Belarus,2020-01-26,0
Belarus,2020-01-27,0
Belarus,2020-01-28,0
Belarus,2020-01-29,0
Belarus,2020-01-30,0
Belarus,2020-01-31,0
Belarus,2020-02-01,0
Belarus,2020-02-02,0
Belarus,2020-02-03,0
Belarus,2020-02-04,0
Belarus,2020-02-05,0
Belarus,2020-02-06,0
Belarus,2020-02-07,0
Belarus,2020-02-08,0
Belarus,2020-02-09,0
Belarus,2020-02-10,0
Belarus,2020-02-11,0
Belarus,2020-02-12,0
Belarus,2020-02-13,0
Belarus,2020-02-14,0
Belarus,2020-02-15,0
Belarus,2020-02-16,0
Belarus,2020-02-17,0
Belarus,2020-02-18,0
Belarus,2020-02-19,0
Belarus,2020-02-20,0
Belarus,2020-02-21,0
Belarus,2020-02-22,0
Belarus,2020-02-23,0
Belarus,2020-02-24,0
Belarus,2020-02-25,0
Belarus,2020-02-26,0
Belarus,2020-02-27,0
Belarus,2020-02-28,1
Belarus,2020-02-29,1
Belarus,2020-03-01,1
Belarus,2020-03-02,1
Belarus,2020-03-03,1
Belarus,2020-03-04,6
Belarus,2020-03-05,6
Belarus,2020-03-06,6
Belarus,2020-03-07,6
Belarus,2020-03-08,6
Belarus,2020-03-09,6
Belarus,2020-03-10,9
Belarus,2020-03-11,9
Belarus,2020-03-12,12
Belarus,2020-03-13,27
Belarus,2020-03-14,27
Belarus,2020-03-15,27
Belarus,2020-03-16,36
Belarus,2020-03-17,36
Belarus,2020-03-18,51
Belarus,2020-03-19,51
Belarus,2020-03-20,69
Belarus,2020-03-21,76
Belarus,2020-03-22,76
Belarus,2020-03-23,81
Belarus,2020-03-24,81
Belarus,2020-03-25,86
Belarus,2020-03-26,86
Belarus,2020-03-27,94
Belarus,2020-03-28,94
Belarus,2020-03-29,94
Belarus,2020-03-30,152
Belarus,2020-03-31,152
Belarus,2020-04-01,163
Belarus,2020-04-02,304
Belarus,2020-04-03,351
Belarus,2020-04-04,440
Belarus,2020-04-05,562
Belarus,2020-04-06,700
Belarus,2020-04-07,861
Belarus,2020-04-08,1066
Belarus,2020-04-09,1486
Belarus,2020-04-10,1981
Belarus,2020-04-11,2226
Belarus,2020-04-12,2578
Belarus,2020-04-13,2919
Belarus,2020-04-14,3281
Belarus,2020-04-15,3728
Belarus,2020-04-16,4204
Belarus,2020-04-17,4779
Belarus,2020-04-18,5297
Belarus,2020-04-19,5807
Belarus,2020-04-20,6264
Belarus,2020-04-21,6723
Belarus,2020-04-22,7281
Belarus,2020-04-23,8022
Belarus,2020-04-24,8773
Belarus,2020-04-25,9590
Belarus,2020-04-26,10463
Belarus,2020-04-27,11289
Belarus,2020-04-28,12208
Belarus,2020-04-29,13181
Belarus,2020-04-30,14027
Belarus,2020-05-01,14917
Belarus,2020-05-02,15828
Belarus,2020-05-03,16705
Belarus,2020-05-04,17489
Belarus,2020-05-05,18350
Belarus,2020-05-06,19255
Belarus,2020-05-07,20168
Belarus,2020-05-08,21101
Belarus,2020-05-09,22052
Belarus,2020-05-10,22973
Belarus,2020-05-11,23906
Belarus,2020-05-12,24873
Belarus,2020-05-13,25825
Belarus,2020-05-14,26772
Belarus,2020-05-15,27730
Belarus,2020-05-16,28681
Belarus,2020-05-17,29650
Belarus,2020-05-18,30572
Belarus,2020-05-19,31508
Belarus,2020-05-20,32426
Belarus,2020-05-21,33371
Belarus,2020-05-22,34303
Belarus,2020-05-23,35244
Belarus,2020-05-24,36198
Belarus,2020-05-25,37144
Belarus,2020-05-26,38059
Belarus,2020-05-27,38956
Belarus,2020-05-28,39858
Belarus,2020-05-29,40764
Belarus,2020-05-30,41658
Belarus,2020-05-31,42556
Belarus,2020-06-01,43403
Belarus,2020-06-02,44255
Belarus,2020-06-03,45116
Belarus,2020-06-04,45981
Belarus,2020-06-05,46868
Belarus,2020-06-06,47751
Belarus,2020-06-07,48630
Belarus,2020-06-08,49453
Belarus,2020-06-09,50265
Belarus,2020-06-10,51066
Belarus,2020-06-11,51816
Belarus,2020-06-12,52520
Belarus,2020-06-13,53241
Belarus,2020-06-14,53973
Belarus,2020-06-15,54680
Belarus,2020-06-16,55369
Belarus,2020-06-17,56032
Belarus,2020-06-18,56657
Belarus,2020-06-19,57333
Belarus,2020-06-20,57936
Belarus,2020-06-21,58505
Belarus,2020-06-22,59023
Belarus,2020-06-23,59487
Belarus,2020-06-24,60382
Belgium,2020-01-22,0
Belgium,2020-01-23,0
Belgium,2020-01-24,0
Belgium,2020-01-25,0
Belgium,2020-01-26,0
Belgium,2020-01-27,0
Belgium,2020-01-28,0
Belgium,2020-01-29,0
Belgium,2020-01-30,0
Belgium,2020-01-31,0
Belgium,2020-02-01,0
Belgium,2020-02-02,0
Belgium,2020-02-03,0
Belgium,2020-02-04,1
Belgium,2020-02-05,1
Belgium,2020-02-06,1
Belgium,2020-02-07,1
Belgium,2020-02-08,1
Belgium,2020-02-09,1
Belgium,2020-02-10,1
Belgium,2020-02-11,1
Belgium,2020-02-12,1
Belgium,2020-02-13,1
Belgium,2020-02-14,1
Belgium,2020-02-15,1
Belgium,2020-02-16,1
Belgium,2020-02-17,1
Belgium,2020-02-18,1
Belgium,2020-02-19,1
Belgium,2020-02-20,1
Belgium,2020-02-21,1
Belgium,2020-02-22,1
Belgium,2020-02-23,1
Belgium,2020-02-24,1
Belgium,2020-02-25,1
Belgium,2020-02-26,1
Belgium,2020-02-27,1
Belgium,2020-02-28,1
Belgium,2020-02-29,1
Belgium,2020-03-01,2
Belgium,2020-03-02,8
Belgium,2020-03-03,13
Belgium,2020-03-04,23
Belgium,2020-03-05,50
Belgium,2020-03-06,109
Belgium,2020-03-07,169
Belgium,2020-03-08,200
Belgium,2020-03-09,239
Belgium,2020-03-10,267
Belgium,2020-03-11,314
Belgium,2020-03-12,314
Belgium,2020-03-13,559
Belgium,2020-03-14,689
Belgium,2020-03-15,886
Belgium,2020-03-16,1058
Belgium,2020-03-17,1243
Belgium,2020-03-18,1486
Belgium,2020-03-19,1795
Belgium,2020-03-20,2257
Belgium,2020-03-21,2815
Belgium,2020-03-22,3401
Belgium,2020-03-23,3743
Belgium,2020-03-24,4269
Belgium,2020-03-25,4937
Belgium,2020-03-26,6235
Belgium,2020-03-27,7284
Belgium,2020-03-28,9134
Belgium,2020-03-29,10836
Belgium,2020-03-30,11899
Belgium,2020-03-31,12775
Belgium,2020-04-01,13964
Belgium,2020-04-02,15348
Belgium,2020-04-03,16770
Belgium,2020-04-04,18431
Belgium,2020-04-05,19691
Belgium,2020-04-06,20814
Belgium,2020-04-07,22194
Belgium,2020-04-08,23403
Belgium,2020-04-09,24983
Belgium,2020-04-10,26667
Belgium,2020-04-11,28018
Belgium,2020-04-12,29647
Belgium,2020-04-13,30589
Belgium,2020-04-14,31119
Belgium,2020-04-15,33573
Belgium,2020-04-16,34809
Belgium,2020-04-17,36138
Belgium,2020-04-18,37183
Belgium,2020-04-19,38496
Belgium,2020-04-20,39983
Belgium,2020-04-21,40956
Belgium,2020-04-22,41889
Belgium,2020-04-23,42797
Belgium,2020-04-24,44293
Belgium,2020-04-25,45325
Belgium,2020-04-26,46134
Belgium,2020-04-27,46687
Belgium,2020-04-28,47334
Belgium,2020-04-29,47859
Belgium,2020-04-30,48519
Belgium,2020-05-01,49032
Belgium,2020-05-02,49517
Belgium,2020-05-03,49906
Belgium,2020-05-04,50267
Belgium,2020-05-05,50509
Belgium,2020-05-06,50781
Belgium,2020-05-07,51420
Belgium,2020-05-08,52011
Belgium,2020-05-09,52596
Belgium,2020-05-10,53081
Belgium,2020-05-11,53449
Belgium,2020-05-12,53779
Belgium,2020-05-13,53981
Belgium,2020-05-14,54288
Belgium,2020-05-15,54644
Belgium,2020-05-16,54989
Belgium,2020-05-17,55280
Belgium,2020-05-18,55559
Belgium,2020-05-19,55791
Belgium,2020-05-20,55983
Belgium,2020-05-21,56235
Belgium,2020-05-22,56511
Belgium,2020-05-23,56810
Belgium,2020-05-24,57092
Belgium,2020-05-25,57342
Belgium,2020-05-26,57455
Belgium,2020-05-27,57592
Belgium,2020-05-28,57849
Belgium,2020-05-29,58061
Belgium,2020-05-30,58186
Belgium,2020-05-31,58381
Belgium,2020-06-01,58517
Belgium,2020-06-02,58615
Belgium,2020-06-03,58685
Belgium,2020-06-04,58767
Belgium,2020-06-05,58907
Belgium,2020-06-06,59072
Belgium,2020-06-07,59226
Belgium,2020-06-08,59348
Belgium,2020-06-09,59437
Belgium,2020-06-10,59569
Belgium,2020-06-11,59711
Belgium,2020-06-12,59819
Belgium,2020-06-13,59918
Belgium,2020-06-14,60029
Belgium,2020-06-15,60100
Belgium,2020-06-16,60155
Belgium,2020-06-17,60244
Belgium,2020-06-18,60348
Belgium,2020-06-19,60476
Belgium,2020-06-20,60550
Belgium,2020-06-21,60550
Belgium,2020-06-22,60550
Belgium,2020-06-23,60810
Belgium,2020-06-24,61007
Bulgaria,2020-01-22,0
Bulgaria,2020-01-23,0
Bulgaria,2020-01-24,0
Bulgaria,2020-01-25,0
Bulgaria,2020-01-26,0
Bulgaria,2020-01-27,0
Bulgaria,2020-01-28,0
Bulgaria,2020-01-29,0
Bulgaria,2020-01-30,0
Bulgaria,2020-01-31,0
Bulgaria,2020-02-01,0
Bulgaria,2020-02-02,0
Bulgaria,2020-02-03,0
Bulgaria,2020-02-04,0
Bulgaria,2020-02-05,0
Bulgaria,2020-02-06,0
Bulgaria,2020-02-07,0
Bulgaria,2020-02-08,0
Bulgaria,2020-02-09,0
Bulgaria,2020-02-10,0
Bulgaria,2020-02-11,0
Bulgaria,2020-02-12,0
Bulgaria,2020-02-13,0
Bulgaria,2020-02-14,0
Bulgaria,2020-02-15,0
Bulgaria,2020-02-16,0
Bulgaria,2020-02-17,0
Bulgaria,2020-02-18,0
Bulgaria,2020-02-19,0
Bulgaria,2020-02-20,0
Bulgaria,2020-02-21,0
Bulgaria,2020-02-22,0
Bulgaria,2020-02-23,0
Bulgaria,2020-02-24,0
Bulgaria,2020-02-25,0
Bulgaria,2020-02-26,0
Bulgaria,2020-02-27,0
Bulgaria,2020-02-28,0
Bulgaria,2020-02-29,0
Bulgaria,2020-03-01,0
Bulgaria,2020-03-02,0
Bulgaria,2020-03-03,0
Bulgaria,2020-03-04,0
Bulgaria,2020-03-05,0
Bulgaria,2020-03-06,0
Bulgaria,2020-03-07,0
Bulgaria,2020-03-08,4
Bulgaria,2020-03-09,4
Bulgaria,2020-03-10,4
Bulgaria,2020-03-11,7
Bulgaria,2020-03-12,7
Bulgaria,2020-03-13,23
Bulgaria,2020-03-14,41
Bulgaria,2020-03-15,51
Bulgaria,2020-03-16,52
Bulgaria,2020-03-17,67
Bulgaria,2020-03-18,92
Bulgaria,2020-03-19,94
Bulgaria,2020-03-20,127
Bulgaria,2020-03-21,163
Bulgaria,2020-03-22,187
Bulgaria,2020-03-23,201
Bulgaria,2020-03-24,218
Bulgaria,2020-03-25,242
Bulgaria,2020-03-26,264
Bulgaria,2020-03-27,293
Bulgaria,2020-03-28,331
Bulgaria,2020-03-29,346
Bulgaria,2020-03-30,359
Bulgaria,2020-03-31,399
Bulgaria,2020-04-01,422
Bulgaria,2020-04-02,457
Bulgaria,2020-04-03,485
Bulgaria,2020-04-04,503
Bulgaria,2020-04-05,531
Bulgaria,2020-04-06,549
Bulgaria,2020-04-07,577
Bulgaria,2020-04-08,593
Bulgaria,2020-04-09,618
Bulgaria,2020-04-10,635
Bulgaria,2020-04-11,661
Bulgaria,2020-04-12,675
Bulgaria,2020-04-13,685
Bulgaria,2020-04-14,713
Bulgaria,2020-04-15,747
Bulgaria,2020-04-16,800
Bulgaria,2020-04-17,846
Bulgaria,2020-04-18,878
Bulgaria,2020-04-19,894
Bulgaria,2020-04-20,929
Bulgaria,2020-04-21,975
Bulgaria,2020-04-22,1024
Bulgaria,2020-04-23,1097
Bulgaria,2020-04-24,1234
Bulgaria,2020-04-25,1247
Bulgaria,2020-04-26,1300
Bulgaria,2020-04-27,1363
Bulgaria,2020-04-28,1399
Bulgaria,2020-04-29,1447
Bulgaria,2020-04-30,1506
Bulgaria,2020-05-01,1555
Bulgaria,2020-05-02,1594
Bulgaria,2020-05-03,1618
Bulgaria,2020-05-04,1652
Bulgaria,2020-05-05,1704
Bulgaria,2020-05-06,1778
Bulgaria,2020-05-07,1829
Bulgaria,2020-05-08,1872
Bulgaria,2020-05-09,1921
Bulgaria,2020-05-10,1965
Bulgaria,2020-05-11,1990
Bulgaria,2020-05-12,2023
Bulgaria,2020-05-13,2069
Bulgaria,2020-05-14,2100
Bulgaria,2020-05-15,2138
Bulgaria,2020-05-16,2175
Bulgaria,2020-05-17,2211
Bulgaria,2020-05-18,2235
Bulgaria,2020-05-19,2259
Bulgaria,2020-05-20,2292
Bulgaria,2020-05-21,2331
Bulgaria,2020-05-22,2372
Bulgaria,2020-05-23,2408
Bulgaria,2020-05-24,2427
Bulgaria,2020-05-25,2433
Bulgaria,2020-05-26,2443
Bulgaria,2020-05-27,2460
Bulgaria,2020-05-28,2477
Bulgaria,2020-05-29,2485
Bulgaria,2020-05-30,2499
Bulgaria,2020-05-31,2513
Bulgaria,2020-06-01,2519
Bulgaria,2020-06-02,2538
Bulgaria,2020-06-03,2560
Bulgaria,2020-06-04,2585
Bulgaria,2020-06-05,2627
Bulgaria,2020-06-06,2711
Bulgaria,2020-06-07,2727
Bulgaria,2020-06-08,2810
Bulgaria,2020-06-09,2889
Bulgaria,2020-06-10,2993
Bulgaria,2020-06-11,3086
Bulgaria,2020-06-12,3191
Bulgaria,2020-06-13,3266
Bulgaria,2020-06-14,3290
Bulgaria,2020-06-15,3341
Bulgaria,2020-06-16,3453
Bulgaria,2020-06-17,3542
Bulgaria,2020-06-18,3674
Bulgaria,2020-06-19,3755
Bulgaria,2020-06-20,3872
Bulgaria,2020-06-21,3905
Bulgaria,2020-06-22,3984
Bulgaria,2020-06-23,4114
Bulgaria,2020-06-24,4242
Croatia,2020-01-22,0
Croatia,2020-01-23,0
Croatia,2020-01-24,0
Croatia,2020-01-25,0
Croatia,2020-01-26,0
Croatia,2020-01-27,0
Croatia,2020-01-28,0
Croatia,2020-01-29,0
Croatia,2020-01-30,0
Croatia,2020-01-31,0
Croatia,2020-02-01,0
Croatia,2020-02-02,0
Croatia,2020-02-03,0
Croatia,2020-02-04,0
Croatia,2020-02-05,0
Croatia,2020-02-06,0
Croatia,2020-02-07,0
Croatia,2020-02-08,0
Croatia,2020-02-09,0
Croatia,2020-02-10,0
Croatia,2020-02-11,0
Croatia,2020-02-12,0
Croatia,2020-02-13,0
Croatia,2020-02-14,0
Croatia,2020-02-15,0
Croatia,2020-02-16,0
Croatia,2020-02-17,0
Croatia,2020-02-18,0
Croatia,2020-02-19,0
Croatia,2020-02-20,0
Croatia,2020-02-21,0
Croatia,2020-02-22,0
Croatia,2020-02-23,0
Croatia,2020-02-24,0
Croatia,2020-02-25,1
Croatia,2020-02-26,3
Croatia,2020-02-27,3
Croatia,2020-02-28,5
Croatia,2020-02-29,6
Croatia,2020-03-01,7
Croatia,2020-03-02,7
Croatia,2020-03-03,9
